0,4534375 | [TestNr=176; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,03];
0,5421875 | [TestNr=177; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,04];
0,5321875 | [TestNr=178; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,05];
0,5253125 | [TestNr=179; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,06];
0,436875 | [TestNr=180; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,1];
0,39625 | [TestNr=181; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,2];
0,5378125 | [TestNr=182; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,3];
0,4265625 | [TestNr=183; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=1E-05];
0,4265625 | [TestNr=184; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,0001];
0,4521875 | [TestNr=185; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,001];
0,511875 | [TestNr=186; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,003];
0,5428125 | [TestNr=187; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,006];
0,5084375 | [TestNr=188; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,01];
0,5021875 | [TestNr=189; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,02];
0,4496875 | [TestNr=190; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,03];
0,50375 | [TestNr=191; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,04];
0,5321875 | [TestNr=192; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,05];
0,5253125 | [TestNr=193; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,06];
0,4953125 | [TestNr=194; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,1];
0,39625 | [TestNr=195; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,2];
0,51375 | [TestNr=196; FreqBandWidth=8; ValueThreshold=0,001; MaxSquaredError=0,3];
0,4265625 | [TestNr=197; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=1E-05];
0,4265625 | [TestNr=198; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,0001];
0,4521875 | [TestNr=199; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,001];
0,4953125 | [TestNr=200; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,003];
0,4996875 | [TestNr=201; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,006];
0,4734375 | [TestNr=202; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,01];
0,456875 | [TestNr=203; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,02];
0,428125 | [TestNr=204; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,03];
0,501875 | [TestNr=205; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,04];
0,524375 | [TestNr=206; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,05];
0,5496875 | [TestNr=207; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,06];
0,4546875 | [TestNr=208; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,1];
0,461875 | [TestNr=209; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,2];
0,525625 | [TestNr=210; FreqBandWidth=8; ValueThreshold=0,01; MaxSquaredError=0,3];
0,4265625 | [TestNr=211; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=1E-05];
0,4265625 | [TestNr=212; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,0001];
0,4521875 | [TestNr=213; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,001];
0,4775 | [TestNr=214; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,003];
0,475 | [TestNr=215; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,006];
0,4390625 | [TestNr=216; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,01];
0,4128125 | [TestNr=217; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,02];
0,41375 | [TestNr=218; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,03];
0,51 | [TestNr=219; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,04];
0,49 | [TestNr=220; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,05];
0,53875 | [TestNr=221; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,06];
0,5015625 | [TestNr=222; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,1];
0,400625 | [TestNr=223; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,2];
0,526875 | [TestNr=224; FreqBandWidth=8; ValueThreshold=0,025; MaxSquaredError=0,3];
0,4265625 | [TestNr=225; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=1E-05];
0,4265625 | [TestNr=226; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,0001];
0,4265625 | [TestNr=227; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,001];
0,440625 | [TestNr=228; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,003];
0,468125 | [TestNr=229; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,006];
0,476875 | [TestNr=230; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,01];
0,359375 | [TestNr=231; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,02];
0,338125 | [TestNr=232; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,03];
0,4365625 | [TestNr=233; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,04];
0,4359375 | [TestNr=234; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,05];
0,5003125 | [TestNr=235; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,06];
0,4846875 | [TestNr=236; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,1];
0,3759375 | [TestNr=237; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,2];
0,530625 | [TestNr=238; FreqBandWidth=8; ValueThreshold=0,06; MaxSquaredError=0,3];
0,4265625 | [TestNr=239; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=1E-05];
0,4265625 | [TestNr=240; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,0001];
0,4265625 | [TestNr=241; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,001];
0,43875 | [TestNr=242; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,003];
0,4725 | [TestNr=243; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,006];
0,498125 | [TestNr=244; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,01];
0,4409375 | [TestNr=245; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,02];
0,369375 | [TestNr=246; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,03];
0,3375 | [TestNr=247; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,04];
0,3425 | [TestNr=248; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,05];
0,424375 | [TestNr=249; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,06];
0,4734375 | [TestNr=250; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,1];
0,4528125 | [TestNr=251; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,2];
0,499375 | [TestNr=252; FreqBandWidth=8; ValueThreshold=0,1; MaxSquaredError=0,3];
